accession,title,disease,source,technology,tissue,species,has_control,has_clinical_info,has_processed_matrix,sample_size,score,first_seen,last_seen,url,notes
GSE293270,Single-cell RNA Sequencing of Human Embryonic Stem Cells Reveals Immediate and Deferred Transcriptomic Responses to ATRA Toxicity Across Cell Sub-populations,RA,NCBI GEO,single-cell transcriptomics,,Homo sapiens,no,no,unknown,10,60,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293270,auto-collected from public metadata; sample_size from samples
GSE307415,Single-cell RNA and BCR sequencing of age-associated B cells in mouse and human lupus,SLE / Lupus nephritis,NCBI GEO,single-cell transcriptomics,peripheral blood,Mus musculus; Homo sapiens,no,no,unknown,8,65,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307415,auto-collected from public metadata; sample_size from samples
GSE310245,Retinoic acid regulates macular development in the human retina,RA,NCBI GEO,single-cell transcriptomics,,Homo sapiens,no,no,unknown,6,60,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310245,auto-collected from public metadata; sample_size from samples
GSE326947,Kidney Hematopoietic Stem and Progenitor Cells Contribute to Myeloid Development and Pathology in Lupus Nephritis,SLE / Lupus nephritis,NCBI GEO,single-cell transcriptomics,bone marrow,Mus musculus,yes,yes,unknown,8,90,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326947,auto-collected from public metadata; sample_size from samples
GSE328870,A single-cell and spatial immune atlas of chronic antibody-mediated rejection reveals autoimmune-shared immune states and a CXCL12-CXCR4 fibroblast-immune niche,RA,NCBI GEO,spatial transcriptomics,peripheral blood,Homo sapiens,yes,no,unknown,,75,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328870,auto-collected from public metadata
GSE334067,Paired mutation calling and spatial transcriptomics identify cellular neighborhoods associated with neoplastic outcomes in mouse colitis,IBD-associated disease,NCBI GEO,spatial transcriptomics,,Mus musculus,no,no,unknown,32,30,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334067,auto-collected from public metadata; sample_size from samples
GSE334588,"Single-cell transcriptomic atlas of adult dermatomyositis, cutaneous lupus erythematosus and healthy skin",SLE / Lupus nephritis,NCBI GEO,single-cell transcriptomics,skin,Homo sapiens,yes,no,unknown,48,70,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334588,auto-collected from public metadata; sample_size from samples
GSE334710,Spatial transcriptomic data for skin tissue of systemic sclerosis or localized scleroderma,Systemic sclerosis,NCBI GEO,spatial transcriptomics,skin,Homo sapiens,no,no,unknown,4,65,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334710,auto-collected from public metadata; sample_size from samples
SRR39044409,SRR39044409,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044409,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044410,SRR39044410,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044410,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044411,SRR39044411,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044411,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044412,SRR39044412,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044412,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044415,SRR39044415,Myositis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044415,auto-collected from public metadata; sample_size from BioSample accessions
SRR39044420,SRR39044420,SLE / Lupus nephritis,NCBI SRA,single-cell transcriptomics,,,no,no,unknown,1,40,2026-06-12,2026-06-12,https://www.ncbi.nlm.nih.gov/sra/?term=SRR39044420,auto-collected from public metadata; sample_size from BioSample accessions
